model,temperature,validation_nll_before,validation_nll_after,test_ece_before,test_ece_after,test_accuracy,mean_confidence_before,mean_confidence_after,confidence_gap_before,confidence_gap_after,pattern_before,pattern_after
pedestrian,3.0,0.8383587002754211,0.6254804134368896,0.14770201545622613,0.03854138397508197,0.7058333333333333,0.8319711089134216,0.6672919392585754,0.12613777558008832,-0.03854139407475787,overconfident,underconfident
traffic_light,1.2,0.15565809607505798,0.1532677859067917,0.034875647922356874,0.02459895827704007,0.9205555555555556,0.9509735703468323,0.9375401735305786,0.030418014791276704,0.016984617975023042,overconfident,overconfident
vehicle,0.9,0.39864611625671387,0.3980548083782196,0.02856453296211032,0.01770441747374004,0.7875,0.765044093132019,0.7749430537223816,-0.022455906867980935,-0.012556946277618386,underconfident,underconfident
