model,temperature,validation_nll
pedestrian,0.5,1.3854684829711914
pedestrian,0.6,1.1918960809707642
pedestrian,0.7,1.0588067770004272
pedestrian,0.8,0.9631928205490112
pedestrian,0.9,0.8922658562660217
pedestrian,1.0,0.8383587002754211
pedestrian,1.1,0.796605110168457
pedestrian,1.2,0.7637749314308167
pedestrian,1.3,0.7376466393470764
pedestrian,1.4,0.7166463732719421
pedestrian,1.5,0.6996321082115173
pedestrian,1.6,0.6857575178146362
pedestrian,1.7,0.6743847727775574
pedestrian,1.8,0.6650251746177673
pedestrian,1.9,0.6572996973991394
pedestrian,2.0,0.6509106159210205
pedestrian,2.1,0.6456223726272583
pedestrian,2.2,0.6412456631660461
pedestrian,2.3,0.6376280784606934
pedestrian,2.4,0.6346457004547119
pedestrian,2.5,0.6321970820426941
pedestrian,2.6,0.6301984190940857
pedestrian,2.7,0.6285805106163025
pedestrian,2.8,0.6272858381271362
pedestrian,2.9,0.6262658834457397
pedestrian,3.0,0.6254804134368896
traffic_light,0.5,0.22943565249443054
traffic_light,0.6,0.19983375072479248
traffic_light,0.7,0.18065233528614044
traffic_light,0.8,0.16815920174121857
traffic_light,0.9,0.16025619208812714
traffic_light,1.0,0.15565809607505798
traffic_light,1.1,0.15352274477481842
traffic_light,1.2,0.1532677859067917
traffic_light,1.3,0.15447306632995605
traffic_light,1.4,0.15682515501976013
traffic_light,1.5,0.16008388996124268
traffic_light,1.6,0.1640615165233612
traffic_light,1.7,0.16860873997211456
traffic_light,1.8,0.1736055165529251
traffic_light,1.9,0.17895421385765076
traffic_light,2.0,0.1845749467611313
traffic_light,2.1,0.1904018521308899
traffic_light,2.2,0.19638054072856903
traffic_light,2.3,0.20246575772762299
traffic_light,2.4,0.20861999690532684
traffic_light,2.5,0.21481198072433472
traffic_light,2.6,0.22101564705371857
traffic_light,2.7,0.2272094041109085
traffic_light,2.8,0.23337525129318237
traffic_light,2.9,0.2394983321428299
traffic_light,3.0,0.24556630849838257
vehicle,0.5,0.430978000164032
vehicle,0.6,0.4130878448486328
vehicle,0.7,0.4037821590900421
vehicle,0.8,0.3994074761867523
vehicle,0.9,0.3980548083782196
vehicle,1.0,0.39864611625671387
vehicle,1.1,0.4005333185195923
vehicle,1.2,0.4033059775829315
vehicle,1.3,0.406692236661911
vehicle,1.4,0.4105052351951599
vehicle,1.5,0.414612352848053
vehicle,1.6,0.41891708970069885
vehicle,1.7,0.4233476519584656
vehicle,1.8,0.42784997820854187
vehicle,1.9,0.43238261342048645
vehicle,2.0,0.43691378831863403
vehicle,2.1,0.44141894578933716
vehicle,2.2,0.445879191160202
vehicle,2.3,0.4502798914909363
vehicle,2.4,0.4546099901199341
vehicle,2.5,0.45886123180389404
vehicle,2.6,0.46302738785743713
vehicle,2.7,0.4671041667461395
vehicle,2.8,0.4710886776447296
vehicle,2.9,0.474979043006897
vehicle,3.0,0.4787745773792267
